name,year,country,scoring,drive_distance,gir_pct,sg_p,sg_ttg,sg_t,top_10,win
Aaron Baddeley,2007,AUS,70.088,291.9,60.35,0.629,0.435,1.064,7,1
Aaron Baddeley,2008,AUS,70.196,290.3,62.02,0.762,0.123,0.885,3,0
Aaron Baddeley,2009,AUS,71.153,287.8,59.57,0.604,-0.755,-0.151,2,0
Aaron Baddeley,2010,AUS,70.995,298.9,64.6,0.509,-0.294,0.208,2,0
Aaron Baddeley,2011,AUS,70.23,296.2,65.48,0.324,0.824,1.148,5,1
Aaron Baddeley,2012,AUS,71.113,292.0,58.1,0.604,-0.461,0.143,3,0
Aaron Baddeley,2013,AUS,71.503,288.5,58.0,0.661,-0.979,-0.319,2,0
Aaron Baddeley,2014,AUS,70.796,293.8,59.8,0.872,-0.828,0.044,2,0
Aaron Baddeley,2015,AUS,71.218,294.1,62.46,0.722,-0.945,-0.223,1,0
Aaron Baddeley,2016,AUS,70.888,291.7,63.11,0.581,-0.347,0.234,5,1
Aaron Baddeley,2017,AUS,71.483,292.6,62.57,0.044,-0.216,-0.172,2,0
Aaron Baddeley,2018,AUS,70.85,295.3,63.39,-0.057,0.366,0.309,1,0
Aaron Baddeley,2019,AUS,70.783,286.3,63.33,0.654,-0.34,0.313,3,0
Aaron Rai,2022,ENG,70.637,295.4,68.79,-0.106,0.49,0.383,2,0
Aaron Watkins,2013,USA,71.77,277.1,62.25,0.402,-0.991,-0.589,1,0
Aaron Wise,2018,USA,70.247,302.9,68.81,0.238,0.464,0.703,4,0
Aaron Wise,2019,USA,70.739,302.6,68.6,-0.146,0.475,0.329,1,0
Aaron Wise,2020,USA,70.899,301.5,72.1,-0.479,0.11,-0.369,2,0
Aaron Wise,2021,USA,70.671,300.6,70.35,-0.432,0.845,0.412,3,0
Aaron Wise,2022,USA,69.944,308.3,69.06,0.1,0.952,1.053,4,0
Abraham Ancer,2016,MEX,72.137,276.4,61.81,-0.421,-0.307,-0.727,0,0
Abraham Ancer,2018,MEX,70.659,296.1,66.49,-0.056,0.376,0.32,5,0
Abraham Ancer,2019,MEX,70.58,293.3,66.79,-0.065,0.58,0.515,4,0
Abraham Ancer,2020,MEX,69.892,297.5,66.97,0.328,0.569,0.897,4,0
Abraham Ancer,2021,MEX,69.939,290.4,69.27,0.412,0.831,1.243,9,0
Abraham Ancer,2022,MEX,70.917,297.1,66.86,0.165,-0.026,0.139,3,0
Adam Hadwin,2015,CAN,71.021,288.2,66.55,0.235,-0.051,0.183,3,0
Adam Hadwin,2016,CAN,70.719,290.1,66.07,0.529,-0.003,0.526,2,0
Adam Hadwin,2017,CAN,70.583,291.3,65.08,0.409,0.143,0.551,5,0
Adam Hadwin,2018,CAN,70.75,289.4,68.04,0.106,0.49,0.596,3,0
Adam Hadwin,2019,CAN,70.545,291.2,67.55,0.252,0.091,0.343,5,0
Adam Hadwin,2020,CAN,70.61,294.0,68.29,0.185,0.389,0.573,3,0
Adam Hadwin,2021,CAN,70.961,293.4,62.44,0.471,-0.149,0.322,4,0
Adam Hadwin,2022,CAN,70.595,297.2,67.84,0.127,0.55,0.678,5,0
Adam Long,2019,USA,71.464,292.0,65.28,-0.369,-0.049,-0.418,2,0
Adam Long,2020,USA,70.41,292.0,67.74,0.226,0.307,0.533,3,0
Adam Long,2021,USA,71.288,288.6,63.03,0.144,-0.601,-0.457,2,0
Adam Schenk,2019,USA,70.817,300.8,68.61,0.341,0.146,0.487,3,0
Adam Schenk,2021,USA,71.054,299.5,67.37,0.137,0.051,0.188,2,0
Adam Schenk,2022,USA,71.118,304.0,64.44,0.053,-0.286,-0.233,3,0
Adam Scott,2007,AUS,70.008,300.9,65.44,0.129,1.105,1.234,6,1
Adam Scott,2008,AUS,70.06,302.1,63.72,-0.44,1.299,0.859,3,1
Adam Scott,2009,AUS,71.72,294.9,62.82,-0.881,0.22,-0.66,1,0
Adam Scott,2010,AUS,70.468,294.4,69.61,-0.746,1.609,0.862,4,1
Adam Scott,2011,AUS,69.872,299.7,68.08,-0.247,0.882,0.635,7,1
Adam Scott,2012,AUS,69.533,304.6,66.57,-0.138,1.302,1.164,5,0
Adam Scott,2013,AUS,69.3,297.8,68.8,-0.027,1.337,1.31,6,2
Adam Scott,2014,AUS,69.205,303.5,68.79,0.22,1.5,1.72,10,1
Adam Scott,2015,AUS,70.456,311.6,69.62,-0.396,0.601,0.206,3,0
